"com"	"gener"	"COUNT"
92054	"75.79"	185
92087	"75.79"	403
92094	"75.79"	3945
92097	"75.79"	119
92101	"75.79"	377
92114	"75.79"	243
92137	"75.79"	1019
92138	"75.79"	182
92140	"75.79"	585
92141	"75.79"	229
92142	"75.79"	698
93010	"75.79"	147
93014	"75.79"	526
93018	"75.79"	110
93022	"75.79"	401
93056	"75.79"	355
93088	"75.79"	565
93090	"75.79"	264
91005	"80.84"	172
91013	"80.84"	258
91015	"80.84"	100
91030	"80.84"	502
91034	"80.84"	409
91054	"80.84"	168
91059	"80.84"	154
91064	"80.84"	122
91072	"80.84"	134
91103	"80.84"	75
91114	"80.84"	331
91120	"80.84"	119
91141	"80.84"	221
91142	"80.84"	139
91143	"80.84"	108
92003	"80.84"	685
92006	"80.84"	118
92035	"80.84"	368
92045	"80.84"	148
92048	"80.84"	217
92054	"80.84"	139
92087	"80.84"	286
92094	"80.84"	3264
92097	"80.84"	95
92101	"80.84"	215
92114	"80.84"	193
92137	"80.84"	855
92138	"80.84"	158
92140	"80.84"	433
92141	"80.84"	182
92142	"80.84"	582
93010	"80.84"	144
93014	"80.84"	432
93018	"80.84"	97
93022	"80.84"	257
93056	"80.84"	252
93088	"80.84"	427
93090	"80.84"	175
91005	"85.89"	129
91013	"85.89"	191
91015	"85.89"	59
91030	"85.89"	284
91034	"85.89"	232
91054	"85.89"	85
91059	"85.89"	78
91064	"85.89"	85
91072	"85.89"	106
91103	"85.89"	30
91114	"85.89"	211
91120	"85.89"	61
91141	"85.89"	145
91142	"85.89"	83
91143	"85.89"	67
92003	"85.89"	429
92006	"85.89"	64
92035	"85.89"	229
92045	"85.89"	98
92048	"85.89"	122
92054	"85.89"	86
92087	"85.89"	159
92094	"85.89"	1999
92097	"85.89"	54
92101	"85.89"	167
92114	"85.89"	123
92137	"85.89"	440
92138	"85.89"	91
92140	"85.89"	224
92141	"85.89"	119
92142	"85.89"	373
93010	"85.89"	59
93014	"85.89"	251
93018	"85.89"	42
93022	"85.89"	163
93056	"85.89"	128
93088	"85.89"	261
93090	"85.89"	106
91005	"90.94"	28
91013	"90.94"	53
91015	"90.94"	26
91030	"90.94"	87
91034	"90.94"	65
91054	"90.94"	23
91059	"90.94"	21
91064	"90.94"	32
91072	"90.94"	26
91103	"90.94"	9
91114	"90.94"	55
91120	"90.94"	10
91141	"90.94"	34
91142	"90.94"	18
91143	"90.94"	15
92003	"90.94"	106
92006	"90.94"	13
92035	"90.94"	72
92045	"90.94"	24
92048	"90.94"	34
92054	"90.94"	25
92087	"90.94"	67
92094	"90.94"	668
92097	"90.94"	18
92101	"90.94"	41
92114	"90.94"	49
92137	"90.94"	137
92138	"90.94"	29
92140	"90.94"	54
92141	"90.94"	42
92142	"90.94"	95
93010	"90.94"	17
93014	"90.94"	56
93018	"90.94"	24
93022	"90.94"	42
93056	"90.94"	29
93088	"90.94"	81
93090	"90.94"	32
91005	"95."	5
91013	"95."	13
91015	"95."	6
91030	"95."	35
91034	"95."	23
91054	"95."	8
91059	"95."	5
91064	"95."	5
91072	"95."	12
91103	"95."	4
91114	"95."	14
91120	"95."	3
91141	"95."	10
91142	"95."	4
91143	"95."	5
92003	"95."	41
92006	"95."	7
92035	"95."	21
92045	"95."	10
92048	"95."	14
